,Year,State,Overall_Homeless,average_debt,population,total_poverty_rate,total_drug_rate
247,2013,California,0.003099093401727119,1.95,38253768,0.0009988558512719584,0.0002049732721754364
248,2013,Colorado,0.001850582096671191,1.95,5270774,0.0010061140925412472,0.0002667539909698272
249,2013,Connecticut,0.001237001472832689,1.55,3595792,0.0010114600622060453,0.00020523990264175457
250,2013,Delaware,0.0010237408312429252,1.55,924062,0.0009869467633124185,0.00019479212433797733
251,2013,Florida,0.0024479740306688766,1.95,19551678,0.0009953109906985988,0.0001787058890802109
252,2013,Georgia,0.0017012524168991674,1.66,9975592,0.0009872095811456604,0.00016750885561478456
253,2013,Iowa,0.0009967888788872423,1.175,3093935,0.0009942031749212573,0.00015287974698886692
254,2013,Idaho,0.001104802385529508,1.95,1612053,0.000998726468670695,0.00016686796277789873
255,2013,Illinois,0.0010410383925653808,1.45,12895778,0.0009809412041677516,0.00017548379012107684
256,2013,Indiana,0.0009277726835170437,1.28,6570575,0.0009979339707712033,0.00018187144960676957
257,2013,Kansas,0.0009304475753427592,1.175,2894306,0.0009535964752863035,0.00016964343092955617
258,2013,Kentucky,0.0011901774169905143,1.28,4406906,0.001021351487869267,0.00015657243426567301
259,2013,Louisiana,0.0011296919179254827,1.28,4626040,0.00098010393338579,0.00016407121425668605
260,2013,Massachusetts,0.002833738238176972,1.36,6715158,0.0010029548076158446,0.00023454399732664519
261,2013,Maine,0.0022701561033402757,1.78,1328543,0.001001096690133477,0.00024086536905467117
262,2013,Michigan,0.0011626051634717465,1.36,9914802,0.0010156531618079716,0.00020202118004978818
263,2013,Minnesota,0.0015169753867326891,1.45,5414722,0.0009878623500892566,0.00017286206013900621
264,2013,Missouri,0.0014199926559522117,1.36,6042989,0.000985439490291973,0.00017739565635482705
265,2013,Mississippi,0.0008037222071155002,1.45,2989839,0.0009682795628794728,0.00013980685916532628
266,2013,Montana,0.0018517824638764374,1.78,1014158,0.0009663188576139024,0.0002001660490771655
267,2013,North Carolina,0.001235741821360358,1.66,9846717,0.0009822563195428487,0.00017112302506510545
